species,vial,temp,viaiblity
D.buzzatti,16,26,8
D.buzzatti,17,26,15
D.buzzatti,18,26,18
D.buzzatti,19,26,10
D.buzzatti,20,26,10
D.buzzatti,1,28,13
D.buzzatti,2,28,11
D.buzzatti,3,28,11
D.buzzatti,4,28,13
D.buzzatti,5,28,15
D.buzzatti,6,28,12
D.buzzatti,7,28,13
D.buzzatti,8,28,14
D.buzzatti,9,28,16
D.buzzatti,10,28,10
D.buzzatti,11,28,13
D.buzzatti,12,28,10
D.buzzatti,13,28,13
D.buzzatti,14,28,10
D.buzzatti,15,28,8
D.buzzatti,16,28,13
D.buzzatti,17,28,14
D.buzzatti,18,28,15
D.buzzatti,19,28,15
D.buzzatti,20,28,11
D.hydei,1,20,5
D.hydei,2,20,3
D.hydei,3,20,0
D.hydei,4,20,12
D.hydei,5,20,12
D.hydei,6,20,2
D.hydei,7,20,0
D.hydei,8,20,11
D.hydei,9,20,2
D.hydei,10,20,18
D.hydei,11,20,16
D.hydei,12,20,8
D.hydei,13,20,2
D.hydei,14,20,17
D.hydei,15,20,9
D.hydei,16,20,12
D.hydei,17,20,8
D.hydei,18,20,2
D.hydei,19,20,16
D.hydei,20,20,14
D.hydei,1,23,3
D.hydei,2,23,16
D.hydei,3,23,16
D.hydei,4,23,10
D.hydei,5,23,3
D.hydei,6,23,12
D.hydei,7,23,1
D.hydei,8,23,14
D.hydei,9,23,4
D.hydei,10,23,5
D.hydei,11,23,9
D.hydei,12,23,5
D.hydei,13,23,1
D.hydei,14,23,1
D.hydei,15,23,1
D.hydei,16,23,15
D.hydei,17,23,15
D.hydei,18,23,7
D.hydei,19,23,4
D.hydei,20,23,15
D.hydei,1,26,16
D.hydei,2,26,1
D.hydei,3,26,4
D.hydei,4,26,5
D.hydei,5,26,16
D.hydei,6,26,13
D.hydei,7,26,10
D.hydei,8,26,11
D.hydei,9,26,4
D.hydei,10,26,1
D.hydei,11,26,17
D.hydei,12,26,5
D.hydei,13,26,16
D.hydei,14,26,5
D.hydei,15,26,17
D.hydei,16,26,9
D.hydei,17,26,5
D.hydei,18,26,0
D.hydei,19,26,9
D.hydei,20,26,7
D.hydei,1,28,8
D.hydei,2,28,17
D.hydei,3,28,1
D.hydei,4,28,0
D.hydei,5,28,0
D.hydei,6,28,13
D.hydei,7,28,12
D.hydei,8,28,11
D.hydei,9,28,9
D.hydei,10,28,5
D.hydei,11,28,13
D.hydei,12,28,9
D.hydei,13,28,1
D.hydei,14,28,19
D.hydei,15,28,16
D.hydei,16,28,8
D.hydei,17,28,19
D.hydei,18,28,17
D.hydei,19,28,10
D.hydei,20,28,18
D.immigrans,1,20,9
D.immigrans,2,20,9
D.immigrans,3,20,8
D.immigrans,4,20,7
D.immigrans,5,20,11
D.immigrans,6,20,7
D.immigrans,7,20,1
D.immigrans,8,20,8
D.immigrans,9,20,5
D.immigrans,10,20,3
D.immigrans,11,20,6
D.immigrans,12,20,7
D.immigrans,13,20,8
D.immigrans,14,20,5
D.immigrans,15,20,6
D.immigrans,16,20,5
D.immigrans,17,20,5
D.immigrans,18,20,1
D.immigrans,19,20,11
D.immigrans,20,20,8
D.immigrans,1,23,8
D.immigrans,2,23,9
D.immigrans,3,23,10
D.immigrans,4,23,12
D.immigrans,5,23,6
D.immigrans,6,23,4
D.immigrans,7,23,13
D.immigrans,8,23,15
D.immigrans,9,23,8
D.immigrans,10,23,5
D.immigrans,11,23,1
D.immigrans,12,23,3
D.immigrans,13,23,4
D.immigrans,14,23,6
D.immigrans,15,23,1
D.immigrans,16,23,6
D.immigrans,17,23,4
D.immigrans,18,23,7
D.immigrans,19,23,10
D.immigrans,20,23,3
D.immigrans,1,26,3
D.immigrans,2,26,3
D.immigrans,3,26,5
D.immigrans,4,26,7
D.immigrans,5,26,9
D.immigrans,6,26,8
D.immigrans,7,26,4
D.immigrans,8,26,1
D.immigrans,9,26,5
D.immigrans,10,26,6
